"Страна";"Дата";"Заражений";"Выздоровлений";"Смертей";"Заражений за день";"Выздоровлений за день";"Смертей за день"
Соломоновы острова;17.09.2020;0;0;0;0;0;0
Шри-Ланка;04.07.2020;2074;1885;11;5;22;0
Индонезия;15.09.2020;225030;161065;8965;3507;2660;124
Кувейт;29.08.2020;84224;75993;528;646;673;3
Венесуэла;05.12.2020;104177;98879;916;300;0;3
Венгрия;30.05.2021;804382;696029;29728;350;3781;19
Палау;15.10.2020;0;0;0;0;0;0
Намибия;20.05.2021;51827;48531;739;0;0;0
Тринидад и Тобаго;29.04.2021;10498;8420;165;328;69;2
Дания;28.03.2021;228705;217281;2415;964;464;1
ЮАР;20.03.2021;1536801;1462110;52082;1378;914;47
Бруней;30.11.2020;150;145;3;0;0;0
Словения;07.03.2021;195468;180366;3891;382;0;3
Южный Судан;08.06.2021;10688;10514;115;0;0;0
Италия;24.04.2021;3949517;3369048;119021;13814;17587;322
Южная Корея;21.06.2021;151901;143817;2006;395;549;2
Республика Конго;24.04.2021;10084;8208;139;0;0;0
Хорватия;15.07.2020;3953;2629;120;126;71;0
Таджикистан;17.04.2021;13714;13218;91;0;0;0
Северная Македония;17.03.2021;115222;99015;3388;1293;339;24
Китай;09.05.2021;103809;98466;4858;13;27;0
Мали;05.02.2021;8145;6037;336;15;12;3
Мексика;02.01.2021;1443544;1090905;126851;6359;7137;344
Казахстан;25.10.2020;147297;134117;2219;315;57;41
Папуа — Новая Гвинея;24.06.2021;17079;16480;173;0;0;0
Доминиканская Республика;26.04.2021;265403;222174;3459;540;349;5
Руанда;22.02.2021;18199;16992;252;146;189;3
Судно "Diamond Princess";29.07.2020;712;651;13;0;0;0
Болгария;31.08.2020;16266;11483;629;76;170;16
Коморские острова;10.12.2020;617;605;7;0;0;0
Россия;14.07.2020;738787;511958;11597;6240;8790;175
Нидерланды;30.05.2021;1674694;26825;17895;2727;15;6
Испания;10.12.2020;1720056;150376;47344;7955;0;325
Барбадос;05.12.2020;285;260;7;1;3;0
Белиз;01.05.2021;12668;12218;323;0;0;0
Словакия;19.12.2020;149275;106361;1510;3151;1801;70
Боливия;16.03.2021;260988;206586;11997;929;958;23
Португалия;18.11.2020;236015;153702;3632;5891;4257;79
Либерия;01.07.2020;780;335;36;10;11;0
Сент-Винсент и Гренадины;16.05.2021;1937;1772;12;5;3;0
Малави;02.09.2020;5579;3500;175;3;80;0
Андорра;07.06.2021;13777;13557;127;19;30;0
Босния и Герцеговина;16.03.2021;146437;122107;5637;1606;666;53
Гвинея-Бисау;12.01.2021;2478;2400;45;0;0;0
Иран;22.05.2021;2823887;2319746;78381;8005;14922;187
Камбоджа;07.12.2020;350;307;0;2;1;0
Сингапур;25.05.2021;61890;61329;32;30;13;0
Алжир;06.02.2021;108629;74330;2909;0;0;0
Эсватини;20.09.2020;5269;4624;104;24;53;0
Кипр;29.10.2020;3817;1882;25;0;0;0
Доминика;15.01.2021;109;101;0;0;0;0
Украина;25.08.2020;110949;54657;2362;1715;395;27
Бутан;14.12.2020;438;404;0;0;1;0
Германия;12.07.2020;199919;184414;9071;210;148;1
Бангладеш;16.03.2021;560887;514479;8597;1719;1352;26
Антигуа и Барбуда;21.03.2021;1033;685;28;0;0;0
Восточный Тимор;25.06.2021;8912;8024;20;23;58;0
Сербия;23.04.2021;675904;0;6164;2384;0;34
Тонга;06.10.2020;0;0;0;0;0;0
Бахрейн;06.10.2020;73476;68606;262;360;673;1
Маврикий;14.11.2020;470;428;10;0;0;0
Таиланд;20.12.2020;5289;4053;60;382;12;0
ЦАР;18.06.2021;7101;6859;98;0;0;0
Франция;24.12.2020;2584322;194559;62388;21718;1367;291
Афганистан;12.01.2021;53584;44608;2301;46;471;13
Катар;27.03.2021;177135;162555;284;614;382;2
Гвинея;21.10.2020;11599;10461;70;61;14;0
Новая Зеландия;03.08.2020;1567;1523;22;0;5;0
Лихтенштейн;19.06.2021;3121;2955;58;2;0;0
Нигер;24.07.2020;1124;1024;69;0;2;0
Лаос;19.12.2020;41;36;0;0;0;0
Египет;09.11.2020;109422;100439;6380;221;97;12
Люксембург;04.03.2021;56110;52445;647;208;260;4
Того;07.08.2020;1028;710;22;16;13;0
Греция;15.09.2020;13730;8846;313;310;1584;3
Ангола;03.12.2020;15361;8244;352;42;105;1
Индия;19.10.2020;7597063;6733328;115197;46790;69720;587
Гайана;14.05.2021;14988;12834;335;143;141;2
Пакистан;20.04.2021;772381;672619;16600;5499;5488;147
Албания;01.02.2021;78992;47922;1393;865;498;13
Сент-Китс и Невис;16.01.2021;34;32;0;0;0;0
Сьерра-Леоне;30.10.2020;2365;1798;74;3;3;0
Эфиопия;01.02.2021;138384;122968;2103;734;106;10
Сомали;25.08.2020;3275;2443;95;6;0;2
Монако;13.06.2021;2525;2473;33;1;0;0
Micronesia;25.11.2020;0;0;0;0;0;0
Австралия;06.09.2020;26321;19473;762;43;137;9
Мадагаскар;13.11.2020;17223;16516;249;0;0;0
Литва;26.05.2021;272231;250661;4220;549;1021;11
Швейцария;20.06.2021;701627;317600;10764;0;0;2
Куба;29.05.2021;140087;132910;943;1188;1449;10
Канада;18.07.2020;111976;98436;8939;346;155;3
Замбия;20.11.2020;17373;16606;356;23;15;0
Беларусь;02.05.2021;361063;351816;2562;1081;1383;10
Уганда;02.05.2021;41905;41422;342;0;0;0
Танзания;24.12.2020;509;183;21;0;0;0
Фиджи;06.02.2021;56;53;2;0;0;0
Сирия;20.06.2021;25118;21738;1845;42;11;4
Иордания;25.01.2021;321298;308883;4239;845;1176;15
Мальдивы;04.10.2020;10530;9364;34;65;54;0
Черногория;02.11.2020;19210;14456;320;496;240;7
Грузия;11.06.2021;352649;337820;5012;695;797;16
ОАЭ;01.02.2021;306339;281410;859;2730;4452;9
Бельгия;09.01.2021;662694;0;20038;1991;0;46
Чехия;01.12.2020;528474;455177;8407;5176;3570;112
Великобритания;23.08.2020;327643;1547;41515;1048;0;6
Казахстан;20.11.2020;165558;141764;2365;980;467;0
Мексика;28.01.2021;1825519;1376073;155145;18670;13548;1506
Мали;27.02.2021;8365;6402;352;7;47;2
Бразилия;07.06.2021;16984218;15019797;474414;37156;19079;1010
Папуа — Новая Гвинея;14.06.2021;16682;16017;165;0;0;0
Гамбия;14.06.2021;6016;5822;180;8;9;0
Китай;04.06.2021;113565;98958;5033;497;12;21
